Source,Target,Result,Prompt
L C3 Radikulopati,L Pannhuvudvärk,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C3 Radikulopati causes discomfort related to L Pannhuvudvärk.

### Response:
"
R C6 Radikulopati,Interskapulära besvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C6 Radikulopati causes discomfort related to Interskapulära besvär.

### Response:
"
L C7 Radikulopati,L Armbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C7 Radikulopati causes discomfort related to L Armbesvär.

### Response:
"
R Lårbesvär,DLS L5-S1,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Lårbesvär causes discomfort related to DLS L5-S1.

### Response:
"
R L2 Radikulopati,R Lumbago,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L2 Radikulopati causes discomfort related to R Lumbago.

### Response:
"
L C8 Radikulopati,L Armbågsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C8 Radikulopati causes discomfort related to L Armbågsbesvär.

### Response:
"
L Stortårbesvär,DLS L4-L5,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Stortårbesvär causes discomfort related to DLS L4-L5.

### Response:
"
DLS T11-T12,L Axelbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS T11-T12 causes discomfort related to L Axelbesvär.

### Response:
"
DLS T2-T3,R T3 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS T2-T3 causes discomfort related to R T3 Radikulopati.

### Response:
"
R T6 Radikulopati,R T9 Radikulopati,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T6 Radikulopati causes discomfort related to R T9 Radikulopati.

### Response:
"
R T4 Radikulopati,L Tåledbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T4 Radikulopati causes discomfort related to L Tåledbesvär.

### Response:
"
R T3 Radikulopati,R Bröstbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T3 Radikulopati causes discomfort related to R Bröstbesvär.

### Response:
"
L Under armsbesvär,L T6 Radikulopati,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Under armsbesvär causes discomfort related to L T6 Radikulopati.

### Response:
"
L C6 Radikulopati,L Laterala armsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C6 Radikulopati causes discomfort related to L Laterala armsbesvär.

### Response:
"
R L5 Radikulopati,R Tibiaperialgi,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L5 Radikulopati causes discomfort related to R Tibiaperialgi.

### Response:
"
R T2 Radikulopati,L Central bröstsmärta,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T2 Radikulopati causes discomfort related to L Central bröstsmärta.

### Response:
"
L C6 Radikulopati,L Axelbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C6 Radikulopati causes discomfort related to L Axelbesvär.

### Response:
"
L L4 Radikulopati,L Lumbago,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L4 Radikulopati causes discomfort related to L Lumbago.

### Response:
"
R Armbesvär,R Achillesbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Armbesvär causes discomfort related to R Achillesbesvär.

### Response:
"
R C5 Radikulopati,R Främre Axelbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C5 Radikulopati causes discomfort related to R Främre Axelbesvär.

### Response:
"
R T10 Radikulopati,Bröstryggsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T10 Radikulopati causes discomfort related to Bröstryggsbesvär.

### Response:
"
R S1 Radikulopati,Hälbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R S1 Radikulopati causes discomfort related to Hälbesvär.

### Response:
"
R C6 Radikulopati,R Skulderbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C6 Radikulopati causes discomfort related to R Skulderbesvär.

### Response:
"
R T5 Radikulopati,Bröstryggsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T5 Radikulopati causes discomfort related to Bröstryggsbesvär.

### Response:
"
L C7 Radikulopati,L Skulderbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C7 Radikulopati causes discomfort related to L Skulderbesvär.

### Response:
"
R C8 Radikulopati,R Fingerbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C8 Radikulopati causes discomfort related to R Fingerbesvär.

### Response:
"
R Lillfingerbesvär,L Vadbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Lillfingerbesvär causes discomfort related to L Vadbesvär.

### Response:
"
R S2 Radikulopati,R Ischias,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R S2 Radikulopati causes discomfort related to R Ischias.

### Response:
"
R Främre knäbesvär,R Laterala armbågsbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Främre knäbesvär causes discomfort related to R Laterala armbågsbesvär.

### Response:
"
L Achillodyni,L PFS,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Achillodyni causes discomfort related to L PFS.

### Response:
"
DLS C3-C4,L Skinkbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C3-C4 causes discomfort related to L Skinkbesvär.

### Response:
"
R C6 Radikulopati,R Armvecksbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C6 Radikulopati causes discomfort related to R Armvecksbesvär.

### Response:
"
DLS C6-C7,R C7 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C6-C7 causes discomfort related to R C7 Radikulopati.

### Response:
"
L L4 Radikulopati,Lumbago,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L4 Radikulopati causes discomfort related to Lumbago.

### Response:
"
R PFS,R T8 Radikulopati,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R PFS causes discomfort related to R T8 Radikulopati.

### Response:
"
R Pannhuvudvärk,DLS T6-T7,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Pannhuvudvärk causes discomfort related to DLS T6-T7.

### Response:
"
R C5 Radikulopati,R Laterala armbågsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C5 Radikulopati causes discomfort related to R Laterala armbågsbesvär.

### Response:
"
R C4 Radikulopati,Central bröstsmärta,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C4 Radikulopati causes discomfort related to Central bröstsmärta.

### Response:
"
L C4 Radikulopati,L Centrala bröstbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C4 Radikulopati causes discomfort related to L Centrala bröstbesvär.

### Response:
"
R Ischias,R Knäbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Ischias causes discomfort related to R Knäbesvär.

### Response:
"
L L5 Radikulopati,L Skinkbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L5 Radikulopati causes discomfort related to L Skinkbesvär.

### Response:
"
R Nyckelbensbesvär,R Tårbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Nyckelbensbesvär causes discomfort related to R Tårbesvär.

### Response:
"
DLS C3-C4,DLS C1-C2,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C3-C4 causes discomfort related to DLS C1-C2.

### Response:
"
R Benbesvär,Central bröstsmärta,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Benbesvär causes discomfort related to Central bröstsmärta.

### Response:
"
R T4 Radikulopati,Bröstryggsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T4 Radikulopati causes discomfort related to Bröstryggsbesvär.

### Response:
"
DLS C4-C5,L C5 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C4-C5 causes discomfort related to L C5 Radikulopati.

### Response:
"
R T8 Radikulopati,Bröstryggsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T8 Radikulopati causes discomfort related to Bröstryggsbesvär.

### Response:
"
R C7 Radikulopati,Nackbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C7 Radikulopati causes discomfort related to Nackbesvär.

### Response:
"
DLS T5-T6,R T6 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS T5-T6 causes discomfort related to R T6 Radikulopati.

### Response:
"
L L2 Radikulopati,Centrala Ljumskbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L2 Radikulopati causes discomfort related to Centrala Ljumskbesvär.

### Response:
"
L S1 Radikulopati,L Achillesbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L S1 Radikulopati causes discomfort related to L Achillesbesvär.

### Response:
"
R T6 Radikulopati,Bröstryggsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T6 Radikulopati causes discomfort related to Bröstryggsbesvär.

### Response:
"
L C6 Radikulopati,L Under armsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C6 Radikulopati causes discomfort related to L Under armsbesvär.

### Response:
"
DLS T6-T7,L T7 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS T6-T7 causes discomfort related to L T7 Radikulopati.

### Response:
"
DLS T4-T5,L T5 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS T4-T5 causes discomfort related to L T5 Radikulopati.

### Response:
"
L C4 Radikulopati,Nackbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C4 Radikulopati causes discomfort related to Nackbesvär.

### Response:
"
L L3 Radikulopati,Lumbago,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L3 Radikulopati causes discomfort related to Lumbago.

### Response:
"
L S1 Radikulopati,L Lårbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L S1 Radikulopati causes discomfort related to L Lårbesvär.

### Response:
"
DLS L5-S1,R T4 Radikulopati,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS L5-S1 causes discomfort related to R T4 Radikulopati.

### Response:
"
R L5 Radikulopati,R Tåledbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L5 Radikulopati causes discomfort related to R Tåledbesvär.

### Response:
"
R T5 Radikulopati,R Bröstbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T5 Radikulopati causes discomfort related to R Bröstbesvär.

### Response:
"
R C7 Radikulopati,R Armvecksbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C7 Radikulopati causes discomfort related to R Armvecksbesvär.

### Response:
"
L Vadbesvär,R Armvecksbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Vadbesvär causes discomfort related to R Armvecksbesvär.

### Response:
"
DLS C1-C2,R C2 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C1-C2 causes discomfort related to R C2 Radikulopati.

### Response:
"
R S1 Radikulopati,R Fotbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R S1 Radikulopati causes discomfort related to R Fotbesvär.

### Response:
"
R Skinkbesvär,R Mediala armbågsbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Skinkbesvär causes discomfort related to R Mediala armbågsbesvär.

### Response:
"
DLS C1-C2,R T10 Radikulopati,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C1-C2 causes discomfort related to R T10 Radikulopati.

### Response:
"
R C5 Radikulopati,R Armbågsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C5 Radikulopati causes discomfort related to R Armbågsbesvär.

### Response:
"
DLS C3-C4,L C4 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C3-C4 causes discomfort related to L C4 Radikulopati.

### Response:
"
Kraniocervikal ledskada,L C4 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where Kraniocervikal ledskada causes discomfort related to L C4 Radikulopati.

### Response:
"
L L5 Radikulopati,L Höftkamsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L5 Radikulopati causes discomfort related to L Höftkamsbesvär.

### Response:
"
L Lumbago,L Ischias,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Lumbago causes discomfort related to L Ischias.

### Response:
"
R L5 Radikulopati,R Benbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L5 Radikulopati causes discomfort related to R Benbesvär.

### Response:
"
L C7 Radikulopati,L Mediala armbågsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C7 Radikulopati causes discomfort related to L Mediala armbågsbesvär.

### Response:
"
L L4 Radikulopati,L Lårbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L4 Radikulopati causes discomfort related to L Lårbesvär.

### Response:
"
R C4 Radikulopati,L Skinkbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C4 Radikulopati causes discomfort related to L Skinkbesvär.

### Response:
"
L C4 Radikulopati,Central bröstsmärta,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C4 Radikulopati causes discomfort related to Central bröstsmärta.

### Response:
"
R C4 Radikulopati,L C8 Radikulopati,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C4 Radikulopati causes discomfort related to L C8 Radikulopati.

### Response:
"
R S1 Radikulopati,R Achillodyni,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R S1 Radikulopati causes discomfort related to R Achillodyni.

### Response:
"
R Laterala Fotbesvär,R Laterala ljumskbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Laterala Fotbesvär causes discomfort related to R Laterala ljumskbesvär.

### Response:
"
L C5 Radikulopati,L Övre armbågsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C5 Radikulopati causes discomfort related to L Övre armbågsbesvär.

### Response:
"
R C3 Radikulopati,R Nackbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C3 Radikulopati causes discomfort related to R Nackbesvär.

### Response:
"
R C8 Radikulopati,R Armbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C8 Radikulopati causes discomfort related to R Armbesvär.

### Response:
"
R Fotledsbesvär,R T6 Radikulopati,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Fotledsbesvär causes discomfort related to R T6 Radikulopati.

### Response:
"
